bin,"ceH,22","ceH,33","c(3)Hq","cbH","cHG","ctG","ctH","cHB","cHW","cHWB","ctB","ctW","cW","cHu","c(1)Hq","cHd","c(3)Hl,33","cHt","cHe,33","c(1)Hl,33","cHb","cG","c(1,8)Qq","c(3,1)Qq","c(8)tq","c(8)Qu","c(8)tu","c(8)td","c(8)Qd","c(3,8)Qq","c(1,1)Qq","c(1)tu","c(1)tq","c(1)Qu","c(1)Qd","cHbox","c(3)Hl,11","c(3)Hl,22","cll,1221","c(1)Hl,11","c(1)Hl,22","cHe,11","cHe,22","cHDD","c(3)HQ","c(1)HQ","cH10"
"ttH,pTH<60GeV",,,,,0.41,-0.79,-0.12,,,,,,,,,,,,,,,0.01,0.05,0.01,0.05,0.03,0.03,0.02,0.02,0.01,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,-0.22
"ttH,60<=pTH<120GeV",,,,,0.47,-0.86,-0.12,,,,,-0.01,,,,,,,,,,0.04,0.06,0.02,0.06,0.04,0.04,0.02,0.03,0.01,0.01,0.01,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,-0.18
"ttH,120<=pTH<200GeV",,,,,0.58,-0.96,-0.12,,,,,-0.01,,,,,,,,,,0.12,0.09,0.03,0.09,0.06,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.01,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,-0.12
"ttH,200<=pTH<300GeV",,,0.01,,0.67,-1.05,-0.12,,,,,-0.01,,,,,,,,,,0.25,0.16,0.05,0.16,0.09,0.09,0.06,0.06,0.04,0.01,0.01,0.01,0.01,,0.12,-0.06,-0.06,0.03,,,,,-0.03,0.01,,-0.07
"ttH,pTH>300GeV",,,0.06,,0.74,-1.03,-0.12,,,,-0.01,-0.02,,0.01,,,,,,,,0.43,0.34,0.11,0.33,0.2,0.2,0.11,0.12,0.12,0.05,0.03,0.03,0.02,-0.01,0.12,-0.06,-0.06,0.03,,,,,-0.03,0.01,,-0.02
"ttH,300<=pTH<450GeV",,,0.02,,0.71,-1,-0.12,,,,-0.01,-0.02,,,,,,,,,,0.42,0.26,0.08,0.25,0.16,0.16,0.09,0.1,0.08,0.03,0.03,0.02,0.01,,0.12,-0.06,-0.06,0.03,,,,,-0.03,0.01,,-0.03
"ttH,pTH>450GeV",,,0.21,,0.83,-1.15,-0.12,,0.01,,-0.01,-0.04,,0.04,0.01,-0.01,,,,,,0.46,0.64,0.23,0.6,0.36,0.35,0.19,0.2,0.24,0.11,0.06,0.04,0.03,-0.01,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,
"tH",,,0.16,,0.21,-0.09,-0.07,,0.2,,,-0.26,,,,,,,,,,,,0.33,,,,,,-0.02,,,,,,0.12,-0.16,-0.16,0.08,,,,,-0.03,0.17,,-0.03
"H->ZZ->4l",,,-0.06,,,,,-0.11,0.01,-0.02,,,,-0.01,-0.01,0.01,-0.01,,,,,,,,,,,,,,,,,,,0.12,-0.08,-0.08,0.07,0.07,0.07,-0.05,-0.05,0.02,-0.02,-0.02,-0.04
"H->gaga",-0.01,-0.04,,-0.02,,,0.03,-47.09,-14.18,26.16,1.37,0.73,-0.03,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.06,,,,,-0.03,,,-0.02
"H->bb",,,,-5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,
"H->mumu",-199.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,
"H->tautau",,-11.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.06,-0.06,0.03,,,,,-0.03,,,
"H->WW->lvlv",,,-0.08,,,,,,-0.09,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,0.12,-0.07,-0.07,0.06,,,,,-0.03,,,-0.03
"H->Zga",,,,-0.01,,,0.01,14.68,-14.75,9.21,-0.07,0.46,-0.08,,,,,0.02,,,,,,,,,,,,,,,,,,0.12,-0.18,-0.18,0.18,,,,,-0.12,-0.02,0.02,-0.03
"H->all",-0.04,-0.75,,-2.95,3.21,-0.11,-0.01,-0.09,-0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,-0.08,-0.08,0.04,,,,,-0.03,,,-0.01
"∆H->ZZ->4l",,,,,,,,0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"∆ggF,H->WW->lvlv",,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"∆qq->Hqq,H->WW->lvlv",,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
