0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.0,-0.06,-0.27,-0.38,-0.37,-0.26,-0.25,-0.06,-0.29,-0.21,-0.14,1.0,0.0,0.04,0.06,-0.03,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03,0.02,0.02,0.0,0.0,0.0,-0.49,0.01,0.0,0.0,0.0,1.0,0.01,0.0,0.17,0.29,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
0.0,0.02,-0.01,0.0,0.0,-0.03,0.0,-0.01,-0.21,-0.12,-0.08,0.04,0.01,1.0,0.05,0.0,0.02,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01
0.0,0.0,-0.02,-0.02,0.0,-0.12,-0.26,0.0,-0.17,-0.11,-0.03,0.06,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03,0.02,0.03,0.01,0.02,0.03,-0.29,0.02,0.0,0.01,-0.03,0.17,0.0,0.0,1.0,0.11,0.08,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
0.0,0.04,0.02,0.02,0.0,0.01,0.02,-0.25,0.02,0.0,0.01,0.0,0.29,0.02,0.0,0.11,1.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.02,0.01,0.0,0.0,0.0,0.01,-0.04,-0.04,-0.04,-0.02,0.0,0.11,-0.04,0.0,0.08,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06,-0.15,0.0,0.0,0.01,0.02,0.0,0.02,-0.09
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,1.0,0.0,-0.32,0.0,0.0,0.0,0.01,0.0,-0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,1.0,-0.09,0.0,0.0,0.0,0.0,0.0,-0.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,-0.09,1.0,0.0,0.01,0.0,0.0,0.0,-0.03
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.03,-0.02,0.03,-0.1
0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.02,1.0,0.02,0.0,0.06,-0.2
0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.02,1.0,0.04,0.03,-0.24
0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,-0.02,0.0,0.04,1.0,0.06,-0.19
0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,-0.03,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.06,0.03,0.06,1.0,-0.26
0.0,0.02,0.0,0.0,0.0,-0.03,-0.02,-0.07,-0.04,-0.04,-0.02,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,-0.09,-0.05,-0.01,-0.03,-0.1,-0.2,-0.24,-0.19,-0.26,1.0
