bin,"ceH,22","ceH,33",c(3)Hq,cbH,cHG,ctG,ctH,cHB,cHW,cHWB,ctB,ctW,cW,cHu,c(1)Hq,cHd,"c(3)Hl,33",cHt,"cHe,33","c(1)Hl,33",cHb,cG,"c(1,8)Qq","c(3,1)Qq",c(8)tq,c(8)Qu,c(8)tu,c(8)td,c(8)Qd,"c(3,8)Qq","c(1,1)Qq",c(1)tu,c(1)tq,c(1)Qu,c(1)Qd,cHbox,"c(3)Hl,11","c(3)Hl,22","cll,1221","c(1)Hl,11","c(1)Hl,22","cHe,11","cHe,22",cHDD,c(3)HQ,c(1)HQ,cH
"qq->Hqq,>=2-jet,mjj>=1000GeV,pTH>=200GeV","0.0","0.0",-1.63,0.0,0.0,0.0,0.0,0.0,0.19,0.03,0.0,0.0,0.0,-0.07,0.17,0.01,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.18","-0.18","0.09","0.0","0.0","0.0","0.0",0.0,0.0,0.0,-0.001
"qq->Hqq,>=2-jet,mjj>=350GeV,pTH>=200GeV","0.0","0.0",-1.25,0.0,0.0,0.0,0.0,0.01,0.25,0.03,0.0,0.0,0.0,-0.07,0.1,0.01,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.18","-0.18","0.09","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.001
"qq->Hqq,>=2-jet,mjj>=350GeV","0.0","0.0",-0.47,0.0,0.0,0.0,0.0,0.0,-0.08,0.02,0.0,0.0,0.0,-0.03,0.02,0.01,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.18","-0.18","0.09","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.002
VH-lep,"0.0","0.0",1.83,0.0,-0.01,-0.01,0.0,0.03,0.81,0.09,0.0,0.0,0.0,0.13,-0.02,-0.05,"0.03",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.1","-0.1","0.06","0.0","0.0","0.0","0.0",-0.01,-0.01,0.0,-0.004
"qq->Hqq,VH,H->mumu","0.0","0.0",0.33,0.0,0.0,0.0,0.0,0.01,0.2,0.04,0.0,0.0,0.0,0.02,0.0,-0.01,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.16","-0.16","0.08","0.0","0.0","0.0","0.0",-0.01,0.0,0.0,-0.002
"gg/qq->Hll,75<=pTV<150GeV","0.0","0.0",1.5,0.0,-0.05,-0.04,0.01,0.07,0.67,0.26,0.0,0.0,0.0,0.32,-0.04,-0.11,"0.03",-0.01,"-0.01","-0.01",0.01,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.1","-0.1","0.06","-0.01","-0.01","0.01","-0.01",0.01,-0.02,-0.01,-0.002
"gg/qq->Hll,pTV<150GeV","0.0","0.0",1.22,0.0,-0.03,-0.02,0.0,0.07,0.65,0.26,0.0,0.0,0.0,0.26,-0.02,-0.09,"0.03",0.0,"-0.01","-0.01",0.01,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.1","-0.1","0.06","-0.01","-0.01","-0.01","-0.01",0.01,-0.02,-0.02,-0.005
"gg/qq->Hll,150<=pTV<250GeV","0.0","0.0",2.63,0.0,-0.09,-0.08,0.02,0.07,0.66,0.26,0.0,0.0,0.0,0.56,-0.17,-0.24,"0.03",-0.02,"-0.01","-0.01",0.01,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.1","-0.1","0.07","-0.01","-0.01","-0.01","-0.01",0.01,-0.03,0.0,0
"gg/qq->Hll,250<=pTV<400GeV","0.0","0.0",5.82,0.0,-0.07,-0.1,0.03,0.06,0.73,0.27,0.0,0.0,0.0,1.24,-0.47,-0.34,"0.03",-0.03,"-0.01","-0.01",0.01,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.1","-0.1","0.07","-0.01","-0.01","-0.01","-0.01",0.02,-0.05,0.01,0.001
"gg/qq->Hll,pTV>150GeV","0.0","0.0",3.76,0.0,-0.08,-0.09,0.02,0.07,0.68,0.26,0.0,0.0,0.0,0.81,-0.28,-0.29,"0.03",-0.02,"-0.01","-0.01",0.01,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.1","-0.1","0.07","-0.01","-0.01","-0.01","-0.01",0.02,-0.04,0.01,0
"gg/qq->Hll,pTV>=400GeV","0.0","0.0",15.27,0.0,-0.07,-0.12,0.04,0.05,0.8,0.29,0.0,0.0,0.0,3.48,-1.44,-1.08,"0.03",-0.03,"-0.01","-0.01",0.01,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.11","-0.09","0.07","-0.01","-0.01","-0.01","-0.01",0.03,-0.05,0.02,0.001
ttH,"0.0","0.0",0.0,0.0,0.52,-0.9,-0.12,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.1,"0.09","0.03",0.09,0.05,0.05,0.03,0.04,"0.02","0.01",0.01,0.01,0.01,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.015
"ttH,0<=pTH<120GeV","0.0","0.0",0.0,0.0,0.45,-0.83,-0.12,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.03,"0.06","0.02",0.06,0.04,0.04,0.02,0.02,"0.01","0.0",0.01,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.019
"ttH,pTH<60GeV","0.0","0.0",0.0,0.0,0.41,-0.79,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.01,"0.05","0.01",0.05,0.03,0.03,0.02,0.02,"0.01","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.022
"ttH,60<=pTH<120GeV","0.0","0.0",0.0,0.0,0.47,-0.86,-0.12,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.04,"0.06","0.02",0.06,0.04,0.04,0.02,0.03,"0.01","0.01",0.01,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.018
"ttH,120<=pTH<200GeV","0.0","0.0",0.0,0.0,0.58,-0.96,-0.12,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.12,"0.09","0.03",0.09,0.06,0.05,0.03,0.03,"0.02","0.01",0.01,0.01,0.01,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.012
"ttH,200<=pTH<300GeV","0.0","0.0",0.01,0.0,0.67,-1.05,-0.12,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.25,"0.16","0.05",0.16,0.09,0.09,0.06,0.06,"0.04","0.01",0.01,0.01,0.01,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.01,0.0,-0.007
"ttH,pTH>300GeV","0.0","0.0",0.06,0.0,0.74,-1.03,-0.12,0.0,0.0,0.0,-0.01,-0.02,0.0,0.01,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.43,"0.34","0.11",0.33,0.2,0.2,0.11,0.12,"0.12","0.05",0.03,0.03,0.02,-0.01,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.01,0.0,-0.002
"ttH,300<=pTH<450GeV","0.0","0.0",0.02,0.0,0.71,-1.0,-0.12,0.0,0.0,0.0,-0.01,-0.02,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.42,"0.26","0.08",0.25,0.16,0.16,0.09,0.1,"0.08","0.03",0.03,0.02,0.01,0.0,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.01,0.0,-0.003
"ttH,pTH>450GeV","0.0","0.0",0.21,0.0,0.83,-1.15,-0.12,0.0,0.01,0.0,-0.01,-0.04,0.0,0.04,0.01,-0.01,"0.0",0.0,"0.0","0.0",0.0,0.46,"0.64","0.23",0.6,0.36,0.35,0.19,0.2,"0.24","0.11",0.06,0.04,0.03,-0.01,0.12,"-0.06","-0.06","0.03","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,0
tH,"0.0","0.0",0.16,0.0,0.21,-0.09,-0.07,0.0,0.2,0.0,0.0,-0.26,0.0,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.33",0.0,0.0,0.0,0.0,0.0,"-0.02","0.0",0.0,0.0,0.0,0.0,0.12,"-0.16","-0.16","0.08","0.0","0.0","0.0","0.0",-0.03,0.17,0.0,-0.003
H->ZZ(->4l),"0.0","0.0",-0.06,0.0,0.0,0.0,0.0,-0.11,0.01,-0.02,0.0,0.0,0.0,-0.01,-0.01,0.01,"-0.01",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.08","-0.08","0.07","0.07","0.07","-0.05","-0.05",0.02,-0.02,-0.02,-0.004
H->gaga,"-0.01","-0.04",0.0,-0.02,0.0,0.0,0.03,-47.09,-14.18,26.16,1.37,0.73,-0.03,0.0,0.0,0.0,"0.0",0.0,"0.0","0.0",0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.0,"0.0","0.0",0.0,0.0,0.0,0.0,0.12,"-0.06","-0.06","0.06","0.0","0.0","0.0","0.0",-0.03,0.0,0.0,-0.002
